,country,date
0,Albania,2020-03-13
1,Algeria,2020-03-23
2,Argentina,2020-03-19
3,Armenia,2020-03-24
4,Australia,2020-03-23
5,Austria,2020-03-16
6,Azerbaijan,2020-03-31
7,Bangladesh,2020-03-26
8,Barbados,2020-03-28
9,Belgium,2020-03-18
10,Bermuda,2020-04-04
11,Bolivia,2020-03-22
12,Botswana,2020-04-02
13,Brazil,2020-03-17
14,Brazil,2020-03-24
15,Canada,2020-03-14
16,Chile,2020-03-19
17,China,2020-01-29
18,Colombia,2020-03-25
19,Republic of the Congo,2020-03-31
20,Costa Rica,2020-03-23
21,Croatia,2020-03-18
22,Cuba,2020-03-23
23,Czech Republic,2020-03-16
24,Denmark,2020-03-11
25,Dominican Republic,2020-03-19
26,Ecuador,2020-03-16
27,El Salvador,2020-03-12
28,Eritrea,2020-04-02
29,Fiji,2020-03-20
30,Fiji,2020-04-03
31,Finland,2020-03-27
32,France,2020-03-13
33,Georgia,2020-03-31
34,Germany,2020-03-06
35,Ghana,2020-03-30
36,Ghana,2020-03-30
37,Greece,2020-03-23
38,Guernsey,2020-03-25
39,Honduras,2020-03-20
40,Hungary,2020-03-28
41,India,2020-03-25
42,Iran,2020-03-14
43,Iraq,2020-03-22
44,Ireland,2020-03-12
45,Israel,2020-04-02
46,Italy,2020-03-05
47,Jamaica,2020-04-15
48,Japan,2020-02-25
49,Jordan,2020-03-18
50,Kosovo,2020-03-14
51,Kuwait,2020-03-14
52,Lebanon,2020-03-15
53,Liberia,2020-03-23
54,Liberia,2020-03-23
55,Libya,2020-03-22
56,Lithuania,2020-03-16
57,Luxembourg,2020-03-18
58,Madagascar,2020-03-23
59,Madagascar,2020-03-23
60,Malaysia,2020-03-18
61,Mongolia,2020-03-10
62,Montenegro,2020-03-24
63,Morocco,2020-03-19
64,Namibia,2020-03-27
65,Nepal,2020-03-24
66,Netherlands,2020-03-16
67,New Zealand,2020-03-26
68,Nigeria,2020-03-30
69,Nigeria,2020-03-30
70,Nigeria,2020-03-30
71,Northern Cyprus,2020-03-30
72,Norway,2020-03-12
73,Oman,2020-04-10
74,Oman,2020-04-16
75,Pakistan,2020-03-24
76,Panama,2020-03-25
77,Papua New Guinea,2020-03-24
78,Paraguay,2020-03-20
79,Peru,2020-03-16
80,Philippines,2020-03-27
81,Philippines,2020-03-19
82,Philippines,2020-03-15
83,Philippines,2020-03-23
84,Poland,2020-03-13
85,Portugal,2020-03-19
86,Qatar,2020-03-11
87,Romania,2020-03-25
88,Russia,2020-03-30
89,Russia,2020-03-28
90,Rwanda,2020-03-21
91,Samoa,2020-03-26
92,San Marino,2020-03-14
93,Saudi Arabia,2020-03-29
94,Saudi Arabia,2020-03-26
95,Saudi Arabia,2020-03-26
96,Saudi Arabia,2020-03-09
97,Saudi Arabia,2020-03-26
98,Serbia,2020-03-15
99,Singapore,2020-04-07
100,Slovakia,2020-03-16
101,South Africa,2020-03-26
102,South korea,2020-02-23
102,Spain,2020-03-14
103,Switzerland,2020-03-02
104,Thailand,2020-03-25
105,Trinidad and Tobago,2020-03-17
106,Tunisia,2020-03-22
107,Turkey,2020-04-23
108,Ukraine,2020-03-17
109,United Arab Emirates,2020-03-26
110,Uk,2020-03-23
111,United Kingdom,2020-03-12
112,Us,2020-03-19
113,United States,2020-03-19
114,United States,2020-03-20
115,United States,2020-03-23
116,United States,2020-03-21
117,United States,2020-03-24
118,United States,2020-03-24
119,United States,2020-03-24
120,United States,2020-03-20
121,United States,2020-03-24
122,United States,2020-03-24
123,Venezuela,2020-03-17
124,Zimbabwe,2020-03-30
